STORE,UPC,WEEK,MOVE,QTY,PRICE,SALE,PROFIT,OK
2,1470001100,120,4,1,1.69,,26.03,1
2,1470001110,120,11,1,2.49,,36.06,1
2,3010016584,120,4,1,2.87,,27.07,1
2,3010021196,120,6,1,2.87,,27.07,1
2,3828112277,120,8,1,1.69,,51.95,1
2,3828112289,120,4,1,2.39,,40.41,1
2,4400000516,120,17,1,2.81,B,28.11,1
2,4400000527,120,17,1,2.84,,27.28,1
2,4400000551,120,18,1,2.99,,25.98,1
2,4400000655,120,7,1,2.85,,31.64,1
2,4400000720,120,29,1,2.92,,33.28,1
2,4400003721,120,18,1,2.49,,25.98,1
2,4400003732,120,5,1,2.99,,25.98,1
2,4400004713,120,0,1,0,,0,1
2,7974600016,120,10,1,1.89,,30.37,1
12,1470001100,120,21,1,1.69,,26.04,1
12,1470001110,120,7,1,2.49,B,36.06,1
12,3010016584,120,11,1,3.05,,31.38,1
12,3010021196,120,9,1,3.05,B,31.38,1
12,3828112277,120,12,1,1.69,,51.95,1
12,3828112289,120,1,1,2.39,,40.42,1
12,4400000516,120,21,1,2.81,B,28.11,1
12,4400000527,120,10,1,2.84,,27.29,1
12,4400000551,120,21,1,2.99,,25.99,1
12,4400000655,120,5,1,3.25,,40.06,1
12,4400000720,120,12,1,3.25,,40.06,1
12,4400003721,120,18,1,2.49,,25.98,1
12,4400003732,120,5,1,2.99,,25.99,1
12,7974600016,120,19,1,1.89,,30.37,1
50,1470001100,120,15,1,1.69,,26.04,1
50,1470001110,120,9,1,2.49,B,36.06,1
50,3010016584,120,3,1,3.05,,31.38,1
50,3010021196,120,5,1,3.05,B,31.38,1
50,3828112277,120,2,1,1.59,,48.93,1
50,3828112289,120,3,1,2.29,,37.82,1
50,4400000516,120,21,1,2.81,B,28.11,1
50,4400000527,120,2,1,2.84,,27.29,1
50,4400000551,120,16,1,2.99,,25.99,1
50,4400000655,120,6,1,3.25,,40.06,1
50,4400000720,120,8,1,3.25,,40.06,1
50,4400003721,120,9,1,2.49,,25.98,1
50,4400003732,120,1,1,2.99,,25.99,1
50,7974600016,120,7,1,1.89,,30.37,1
75,1470001100,120,7,1,1.69,,26.04,1
75,1470001110,120,5,1,2.49,B,36.06,1
75,3010016584,120,8,1,3.05,,31.38,1
75,3010021196,120,0,1,0,,0,1
75,3828112277,120,3,1,1.69,,51.95,1
75,3828112289,120,5,1,2.39,,40.42,1
75,4400000516,120,15,1,2.81,B,28.11,1
75,4400000527,120,6,1,2.84,,27.29,1
75,4400000551,120,23,1,2.99,,25.99,1
75,4400000655,120,1,1,3.25,,40.06,1
75,4400000720,120,16,1,3.25,,40.06,1
75,4400003721,120,9,1,2.49,,25.98,1
75,4400003732,120,7,1,2.99,,25.99,1
75,7974600016,120,11,1,1.89,,30.37,1
100,1470001100,120,12,1,1.69,,26.03,1
100,1470001110,120,23,1,2.49,,36.06,1
100,3010016584,120,10,1,2.87,,27.07,1
100,3010021196,120,14,1,2.76,,24.16,1
100,3828112277,120,16,1,1.69,,51.95,1
100,3828112289,120,12,1,2.39,,40.41,1
100,4400000516,120,23,1,2.81,B,28.11,1
100,4400000527,120,9,1,2.84,,27.28,1
100,4400000551,120,62,1,2.99,,25.98,1
100,4400000655,120,16,1,2.72,,28.38,1
100,4400000720,120,50,1,2.92,,33.28,1
100,4400003721,120,33,1,2.49,,25.98,1
100,4400003732,120,10,1,2.99,,25.98,1
100,7974600016,120,14,1,1.89,,30.37,1
2,1470001100,121,15,1,1.61,,43.78,1
2,1470001110,121,97,1,2.49,,31.44,1
2,3010016584,121,8,1,2.69,B,22.19,1
2,3010021196,121,19,1,2.69,B,22.19,1
2,3828112277,121,30,1,1.69,,51.95,1
2,3828112289,121,7,1,2.39,,40.41,1
2,4400000516,121,27,1,2.82,B,27.9,1
2,4400000527,121,16,1,2.84,,27.28,1
2,4400000551,121,25,1,2.99,,27.75,1
2,4400000655,121,16,1,2.69,B,27.58,1
2,4400000720,121,44,1,2.69,B,27.58,1
2,4400003721,121,17,1,2.49,,25.98,1
2,4400003732,121,5,1,2.99,,25.98,1
2,4400004713,121,0,1,0,,0,1
2,7974600016,121,21,1,1.89,,30.37,1
12,1470001100,121,33,1,1.69,,26.04,1
12,1470001110,121,18,1,2.49,,36.06,1
12,3010016584,121,10,1,2.69,B,22.19,1
12,3010021196,121,29,1,2.69,B,22.19,1
12,3828112277,121,17,1,1.69,,51.95,1
12,3828112289,121,15,1,2.39,,40.42,1
12,4400000516,121,11,1,2.81,B,28.11,1
12,4400000527,121,15,1,2.84,,27.29,1
12,4400000551,121,29,1,2.99,,25.99,1
12,4400000655,121,4,1,2.69,,27.58,1
12,4400000720,121,43,1,2.69,,27.58,1
12,4400003721,121,26,1,2.49,,25.98,1
12,4400003732,121,1,1,2.99,,25.99,1
12,7974600016,121,7,1,1.89,,30.37,1
50,1470001100,121,8,1,1.69,,26.04,1
50,1470001110,121,6,1,2.49,,36.06,1
50,3010016584,121,8,1,2.69,B,22.19,1
50,3010021196,121,24,1,2.69,B,22.19,1
50,3828112277,121,5,1,1.59,,48.93,1
50,3828112289,121,7,1,2.29,,37.82,1
50,4400000516,121,15,1,2.81,B,28.11,1
50,4400000527,121,11,1,2.84,,27.29,1
50,4400000551,121,30,1,2.99,,25.99,1
50,4400000655,121,14,1,2.69,,27.58,1
50,4400000720,121,43,1,2.69,,27.58,1
50,4400003721,121,7,1,2.49,,25.98,1
50,4400003732,121,8,1,2.99,,25.99,1
50,7974600016,121,3,1,1.89,,30.37,1
75,1470001100,121,14,1,1.69,,26.04,1
75,1470001110,121,1,1,2.49,,36.06,1
75,3010016584,121,6,1,2.69,B,22.19,1
75,3010021196,121,5,1,2.69,B,22.19,1
75,3828112277,121,16,1,1.69,,51.95,1
75,3828112289,121,7,1,2.39,,40.42,1
75,4400000516,121,7,1,2.81,B,28.11,1
75,4400000527,121,14,1,2.84,,27.29,1
75,4400000551,121,11,1,2.99,,25.99,1
75,4400000655,121,5,1,2.69,,27.58,1
75,4400000720,121,25,1,2.69,,27.58,1
75,4400003721,121,8,1,2.49,,25.98,1
75,4400003732,121,6,1,2.99,,25.99,1
75,7974600016,121,4,1,1.89,,30.37,1
100,1470001100,121,24,1,1.59,,44.84,1
100,1470001110,121,12,1,2.49,,31.88,1
100,3010016584,121,54,1,2.69,B,22.19,1
100,3010021196,121,60,1,2.69,B,22.19,1
100,3828112277,121,23,1,1.69,,51.95,1
100,3828112289,121,11,1,2.39,,40.41,1
100,4400000516,121,17,1,2.83,B,27.63,1
100,4400000527,121,19,1,2.84,,27.28,1
100,4400000551,121,78,1,2.99,,27.12,1
100,4400000655,121,3,1,2.69,B,27.58,1
100,4400000720,121,155,1,2.69,B,27.58,1
100,4400003721,121,36,1,2.49,,25.98,1
