timestamp, siteid, sensorid, value
Tue Jan 07 00:00:00 PST 2020,1,1,24
Tue Jan 07 00:00:00 PST 2020,1,2,5
Tue Jan 07 00:00:00 PST 2020,1,3,60
Tue Jan 07 00:00:00 PST 2020,2,1,0
Tue Jan 07 00:00:00 PST 2020,2,2,5
Tue Jan 07 00:00:00 PST 2020,2,3,100
Tue Jan 07 00:00:00 PST 2020,3,1,36
Tue Jan 07 00:00:00 PST 2020,3,2,5
Tue Jan 07 00:00:00 PST 2020,3,3,38
Tue Jan 07 00:00:00 PST 2020,4,1,99
Tue Jan 07 00:00:00 PST 2020,4,2,5
Tue Jan 07 00:00:00 PST 2020,4,3,84
Tue Jan 07 00:15:00 PST 2020,1,1,#ERROR#
Tue Jan 07 00:15:00 PST 2020,1,2,5
Tue Jan 07 00:15:00 PST 2020,1,3,96
Tue Jan 07 00:15:00 PST 2020,2,1,28
Tue Jan 07 00:15:00 PST 2020,2,2,5
Tue Jan 07 00:15:00 PST 2020,2,3,94
Tue Jan 07 00:15:00 PST 2020,3,1,3
Tue Jan 07 00:15:00 PST 2020,3,2,5
Tue Jan 07 00:15:00 PST 2020,3,3,95
Tue Jan 07 00:15:00 PST 2020,4,1,72
Tue Jan 07 00:15:00 PST 2020,4,2,5
Tue Jan 07 00:15:00 PST 2020,4,3,21
Tue Jan 07 00:30:00 PST 2020,1,1,160
Tue Jan 07 00:30:00 PST 2020,1,2,5
Tue Jan 07 00:30:00 PST 2020,1,3,34
Tue Jan 07 00:30:00 PST 2020,2,1,22
Tue Jan 07 00:30:00 PST 2020,2,2,5
Tue Jan 07 00:30:00 PST 2020,2,3,85
Tue Jan 07 00:30:00 PST 2020,3,1,11
Tue Jan 07 00:30:00 PST 2020,3,2,5
Tue Jan 07 00:30:00 PST 2020,3,3,15
Tue Jan 07 00:30:00 PST 2020,4,1,#ERROR#
Tue Jan 07 00:30:00 PST 2020,4,2,5
Tue Jan 07 00:30:00 PST 2020,4,3,86
Tue Jan 07 00:45:00 PST 2020,1,1,100
Tue Jan 07 00:45:00 PST 2020,1,2,5
Tue Jan 07 00:45:00 PST 2020,1,3,30
Tue Jan 07 00:45:00 PST 2020,2,1,56
Tue Jan 07 00:45:00 PST 2020,2,2,5
Tue Jan 07 00:45:00 PST 2020,2,3,31
Tue Jan 07 00:45:00 PST 2020,3,1,100
Tue Jan 07 00:45:00 PST 2020,3,2,5
Tue Jan 07 00:45:00 PST 2020,3,3,71
Tue Jan 07 00:45:00 PST 2020,4,1,16
Tue Jan 07 00:45:00 PST 2020,4,2,5
Tue Jan 07 00:45:00 PST 2020,4,3,14
Tue Jan 07 01:00:00 PST 2020,1,1,71
Tue Jan 07 01:00:00 PST 2020,1,2,6
Tue Jan 07 01:00:00 PST 2020,1,3,62
Tue Jan 07 01:00:00 PST 2020,2,1,77
Tue Jan 07 01:00:00 PST 2020,2,2,6
Tue Jan 07 01:00:00 PST 2020,2,3,66
Tue Jan 07 01:00:00 PST 2020,3,1,50
Tue Jan 07 01:00:00 PST 2020,3,2,6
Tue Jan 07 01:00:00 PST 2020,3,3,43
Tue Jan 07 01:00:00 PST 2020,4,1,16
Tue Jan 07 01:00:00 PST 2020,4,2,#ERROR#
Tue Jan 07 01:00:00 PST 2020,4,3,117
Tue Jan 07 01:15:00 PST 2020,1,1,73
Tue Jan 07 01:15:00 PST 2020,1,2,6
Tue Jan 07 01:15:00 PST 2020,1,3,95
Tue Jan 07 01:15:00 PST 2020,2,1,24
Tue Jan 07 01:15:00 PST 2020,2,2,6
Tue Jan 07 01:15:00 PST 2020,2,3,1
Tue Jan 07 01:15:00 PST 2020,3,1,49
Tue Jan 07 01:15:00 PST 2020,3,2,6
Tue Jan 07 01:15:00 PST 2020,3,3,57
Tue Jan 07 01:15:00 PST 2020,4,1,31
Tue Jan 07 01:15:00 PST 2020,4,2,6
Tue Jan 07 01:15:00 PST 2020,4,3,55
Tue Jan 07 01:30:00 PST 2020,1,1,25
Tue Jan 07 01:30:00 PST 2020,1,2,6
Tue Jan 07 01:30:00 PST 2020,1,3,#ERROR#
Tue Jan 07 01:30:00 PST 2020,2,1,52
Tue Jan 07 01:30:00 PST 2020,2,2,6
Tue Jan 07 01:30:00 PST 2020,2,3,12
