"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"1",18,8,307,130,3504,12,70,"American","chevrolet chevelle malibu"
"2",15,8,350,165,3693,11.5,70,"American","buick skylark 320"
"3",18,8,318,150,3436,11,70,"American","plymouth satellite"
"4",16,8,304,150,3433,12,70,"American","amc rebel sst"
"5",17,8,302,140,3449,10.5,70,"American","ford torino"
"6",15,8,429,198,4341,10,70,"American","ford galaxie 500"
"7",14,8,454,220,4354,9,70,"American","chevrolet impala"
"8",14,8,440,215,4312,8.5,70,"American","plymouth fury iii"
"9",14,8,455,225,4425,10,70,"American","pontiac catalina"
"10",15,8,390,190,3850,8.5,70,"American","amc ambassador dpl"
"11",15,8,383,170,3563,10,70,"American","dodge challenger se"
"12",14,8,340,160,3609,8,70,"American","plymouth 'cuda 340"
"13",15,8,400,150,3761,9.5,70,"American","chevrolet monte carlo"
"14",14,8,455,225,3086,10,70,"American","buick estate wagon (sw)"
"15",24,4,113,95,2372,15,70,"Japanese","toyota corona mark ii"
"16",22,6,198,95,2833,15.5,70,"American","plymouth duster"
"17",18,6,199,97,2774,15.5,70,"American","amc hornet"
"18",21,6,200,85,2587,16,70,"American","ford maverick"
"19",27,4,97,88,2130,14.5,70,"Japanese","datsun pl510"
"20",26,4,97,46,1835,20.5,70,"European","volkswagen 1131 deluxe sedan"
"21",25,4,110,87,2672,17.5,70,"European","peugeot 504"
"22",24,4,107,90,2430,14.5,70,"European","audi 100 ls"
"23",25,4,104,95,2375,17.5,70,"European","saab 99e"
"24",26,4,121,113,2234,12.5,70,"European","bmw 2002"
"25",21,6,199,90,2648,15,70,"American","amc gremlin"
"26",10,8,360,215,4615,14,70,"American","ford f250"
"27",10,8,307,200,4376,15,70,"American","chevy c20"
"28",11,8,318,210,4382,13.5,70,"American","dodge d200"
"29",9,8,304,193,4732,18.5,70,"American","hi 1200d"
"30",27,4,97,88,2130,14.5,71,"Japanese","datsun pl510"
"31",28,4,140,90,2264,15.5,71,"American","chevrolet vega 2300"
"32",25,4,113,95,2228,14,71,"Japanese","toyota corona"
"34",19,6,232,100,2634,13,71,"American","amc gremlin"
"35",16,6,225,105,3439,15.5,71,"American","plymouth satellite custom"
"36",17,6,250,100,3329,15.5,71,"American","chevrolet chevelle malibu"
"37",19,6,250,88,3302,15.5,71,"American","ford torino 500"
"38",18,6,232,100,3288,15.5,71,"American","amc matador"
"39",14,8,350,165,4209,12,71,"American","chevrolet impala"
"40",14,8,400,175,4464,11.5,71,"American","pontiac catalina brougham"
"41",14,8,351,153,4154,13.5,71,"American","ford galaxie 500"
"42",14,8,318,150,4096,13,71,"American","plymouth fury iii"
"43",12,8,383,180,4955,11.5,71,"American","dodge monaco (sw)"
"44",13,8,400,170,4746,12,71,"American","ford country squire (sw)"
"45",13,8,400,175,5140,12,71,"American","pontiac safari (sw)"
"46",18,6,258,110,2962,13.5,71,"American","amc hornet sportabout (sw)"
"47",22,4,140,72,2408,19,71,"American","chevrolet vega (sw)"
"48",19,6,250,100,3282,15,71,"American","pontiac firebird"
"49",18,6,250,88,3139,14.5,71,"American","ford mustang"
"50",23,4,122,86,2220,14,71,"American","mercury capri 2000"
"51",28,4,116,90,2123,14,71,"European","opel 1900"
"52",30,4,79,70,2074,19.5,71,"European","peugeot 304"
"53",30,4,88,76,2065,14.5,71,"European","fiat 124b"
"54",31,4,71,65,1773,19,71,"Japanese","toyota corolla 1200"
"55",35,4,72,69,1613,18,71,"Japanese","datsun 1200"
